NCT#,phase,condition,sponsor,start_date,mesh_list,criterion
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Not exceeding 400 IU of Vitamin E for 30 days.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium," For patients currently taking donepezil, they must remain on a stable dose for at least three months. Individuals taking stable doses of other cholinesterase inhibitors can be included, but no study subject may initiate use of any cholinesterase inhibitor after entrance to trial."
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Individuals of both sexes over 50 years of age will be eligible.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Exclusion criteria:
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Significant neurological or psychiatric disease other than Alzheimer's disease.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Patients with known or suspected Parkinsons's disease or dementia with Lewy bodies.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Significant systemic illness (including uncontrolled hypertension) or organ failure.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium," History of mental illness within one year or history of significant untreated cardiac or thromboembolic vascular disease (arrythmias, unstable angina, CVA, deep venous thrombosis, or pulmonary embolus)."
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium," Current chronic use of anti-cholinergic medications (anti-histamines, and Artane or Cogentin). Stable doses of anxiolytics, sedatives, hypnotics, antipsychotics and SSRI antidepressants are acceptable. The use of any antipsychotics or tricyclic anti-depressants must be reviewed prior to entry."
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Diagnosis of major depression according to DSM-IV criteria in the last two years.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Allergies to atorvastatin or HMG CoA reductase inhibitors.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Pregnant women.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, History of head injury.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, On a cholesterol lowering drug at time of enrollment.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, History of significant liver disease and or elevated transaminases.
NCT00024531,Phase 2,Alzheimer Disease,Institute for the Study of Aging (ISOA),Oct-00,Alzheimer Disease;Atorvastatin;Calcium, Cholesterol level lower than 90 mg% at initial screening
NCT00031018,Phase 2,Alzheimer's Disease,National Center for Research Resources (NCRR),unknown,Alzheimer Disease;Memory Disorders;Cognitive Dysfunction;Interferon alpha-2;Donepezil," Males and females, age 50 or greater. Possible or probable dementia of the Alzheimer Type defined by NINDS-ARDA criteria with dementia of at least one year duration."
NCT00031018,Phase 2,Alzheimer's Disease,National Center for Research Resources (NCRR),unknown,Alzheimer Disease;Memory Disorders;Cognitive Dysfunction;Interferon alpha-2;Donepezil," Folstein MMSE Score 10-24 inclusive. Vision, hearing, speech, motor function and comprehension must be adequate for compliance with all testing procedures."
NCT00036114,Phase 3,Alzheimer Disease,"Otsuka Pharmaceutical Development &amp; Commercialization, Inc.",Mar-00,Alzheimer Disease;Aripiprazole, Institutionalized patients with Alzheimer's
NCT00041678,Phase 3,Alzheimer Disease,"Otsuka Pharmaceutical Development &amp; Commercialization, Inc.",Jan-00,Alzheimer Disease;Aripiprazole, Institutionalized patients with Alzheimer's Disease
NCT00051909,Phase 2,Alzheimer's Disease,Eli Lilly and Company,Nov-02,Alzheimer Disease, Must have a clinical diagnosis of Alzheimer's Disease
NCT00051909,Phase 2,Alzheimer's Disease,Eli Lilly and Company,Nov-02,Alzheimer Disease, Must be at least 50 years of age
NCT00051909,Phase 2,Alzheimer's Disease,Eli Lilly and Company,Nov-02,Alzheimer Disease, Must fluently read and speak English
NCT00051909,Phase 2,Alzheimer's Disease,Eli Lilly and Company,Nov-02,Alzheimer Disease, Must have a reliable caregiver
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, National Institute of Neurological Disorders and Stroke (NINDS)/Alzheimer's Disease and Related Disorders Association (ADRDA) criteria for probable Alzheimer's disease.
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex," Mini-Mental Status Examination (MMSE) score between 14 and 26, inclusive"
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Stable medical condition for 3 months
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Stable medications for 4 weeks prior to the screening visit
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex," Physically acceptable for this study as confirmed by medical history, physical exam, neurologic exam and clinical laboratory tests"
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Supervision available for administration of study medications
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Study partner to accompany subject to all scheduled visits
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Fluent in English or Spanish
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Modified Hachinski equal to or less than 4 CT or magnetic resonance imaging (MRI) since onset of memory impairment demonstrating absence of clinically significant focal lesion
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Able to complete baseline assessments
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, 6 years of education or work history sufficient to exclude mental retardation
NCT00056225,Phase 3,Alzheimer's Disease,National Institute on Aging (NIA),Jan-03,Alzheimer Disease;Vitamins;Vitamin B 12;Vitamin B 6;Pyridoxal;Pyridoxine;Vitamin B Complex, Able to ingest oral medication
NCT00056329,Phase 3,Alzheimer Disease,New York State Institute for Basic Research,Apr-02,Alzheimer Disease;Down Syndrome;Syndrome;Vitamin E;Tocopherols, Presence of clinically determined Down syndrome (karyotypes optional).
NCT00056329,Phase 3,Alzheimer Disease,New York State Institute for Basic Research,Apr-02,Alzheimer Disease;Down Syndrome;Syndrome;Vitamin E;Tocopherols, Medically stable.
NCT00056329,Phase 3,Alzheimer Disease,New York State Institute for Basic Research,Apr-02,Alzheimer Disease;Down Syndrome;Syndrome;Vitamin E;Tocopherols, Medications stable over 3 months.
NCT00056329,Phase 3,Alzheimer Disease,New York State Institute for Basic Research,Apr-02,Alzheimer Disease;Down Syndrome;Syndrome;Vitamin E;Tocopherols, Appropriately signed and witnessed consent form.
NCT00056329,Phase 3,Alzheimer Disease,New York State Institute for Basic Research,Apr-02,Alzheimer Disease;Down Syndrome;Syndrome;Vitamin E;Tocopherols, Involvement/cooperation of informant/caregiver.
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, Patients who satisfy all of the inclusion criteria listed below will be eligible for entry into the trial. Patients will be considered eligible if:
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide," They give their consent by signing the IRB-approved Informed Consent Form and the responsible caregiver also signs the consent form; or, if the patient is judged by the Investigator to be unable to give consent, if the legally authorized representative gives consent by signing the consent form and the patient gives assent, in accord with local regulations;"
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, They are female;
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, They are 65 years of age or older;
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, They have a diagnosis of probable AD according to the National Institute of Neurological Disorders-Alzheimer's Disease and Related Disorders Association (NINDS-ADRDA) criteria and the Investigator ascertains that the condition was present at least 6 months prior to screening;
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide," They are taking a cholinesterase inhibitor, they began taking it at least 90 days prior to baseline and, in the Investigator's opinion, the dosage will likely remain stable throughout the trial;"
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide," They are taking other drugs or substances that have purported cognition enhancing properties such as ginkgo biloba and Vitamin E, they began taking it at least 60 days prior to baseline and, in the Investigator's opinion, the dosage will likely remain stable throughout the trial;"
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, They score no lower than 12 or higher than 24 on the (MMSE) administered at the screening visit;
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide," They have had a brain imaging study (CT scan, MRI or PET) performed at the time of their initial diagnosis of AD or after that time, and the findings were consistent with a diagnosis of probable AD, or, if a brain imaging study has not been performed, one will be performed during the screening process;"
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide," Their Rosen Modified Hachinski score was 4 or lower at the screening visit, supporting the Investigator's clinical judgment that the patient's dementia is probable AD and not of vascular origin;"
NCT00063310,Phase 2,Alzheimer Disease,Voyager Pharmaceutical Corporation,Mar-03,Alzheimer Disease;Leuprolide, They are fluent in English or Spanish and completed at least 6 years of education;
