NCT#	phase	condition	sponsor	start_date	mesh_list	criterion	Ground_Truth
NCT03532490	Phase 2	Asthma;Obesity	Johns Hopkins University	10-Feb-15	Asthma	> 0 time use of illicit drugs in the past 12 months	2
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	1 use of marijuana per day for 1 year	2
NCT01400906	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	a history of regular alcohol consumption within 6 months of the screening visit	2
NCT00452400	Phase 2	"Pulmonary Disease, Chronic Obstructive;Asthma"	Boehringer Ingelheim	10-Feb-15	"Pulmonary Disease, Chronic Obstructive"	a history of significant alcohol or drug abuse	2
NCT03707678	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A history of substance abuse including alcohol.	2
NCT02833974	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study drug/alcohol screen	2
NCT01366521	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A positive pre-study drug/alcohol test at screening.	2
NCT01743768	Phase 2	Asthma	Sterna Biologicals GmbH & Co. KG	10-Feb-15	Asthma	Abuse of alcohol or drugs	2
NCT00686335	Phase 2	Asthma	"Horizon Pharma Ireland, Ltd., Dublin Ireland"	10-Feb-15	Asthma	Alcohol or drug abuse	2
NCT00557700	Phase 2	Asthma	"University Hospital, Ghent"	10-Feb-15	Asthma	Alcohol or drug abuse.	2
NCT01955512	Phase 2	Asthma	University of Southampton	10-Feb-15	Asthma	Alcohol or recreational drug abuse	2
NCT01641692	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Alcohol or substance abuse history	2
NCT01573624	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Any subject with a history of alcohol or substance abuse	2
NCT01650441	Phase 2	Asthma	"University Hospital, Antwerp"	10-Feb-15	Asthma	Current alcohol or drug abuse	2
NCT00995800	Phase 2	Asthma	Mundipharma Research Limited	10-Feb-15	Asthma;Inflammation	Current evidence or history of alcohol and/or substance abuse within 12 months prior to the screening visit	2
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Current history of suicidal ideation or a past history of suicide attempt.	2
NCT01624974	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	current regular use or a recent past abuse (within past 5 years) of alcohol (>14 drinks/week) or illicit drugs;	2
NCT01582503	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Current substance abuse	2
NCT00587288	Phase 2	Asthma	Ception Therapeutics	10-Feb-15	Asthma	current suspected drug and/or alcohol abuse 	2
NCT02433977	Phase 2	Asthma	"Gladwin, Mark, MD"	10-Feb-15	Asthma	Drug and/or alcohol abuse for ≥1 year	2
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	Drug or alcohol abuse which would interfere with the patient's proper completion of the protocol assignment. Administrative reasons:	2
NCT00534625	Phase 2	Asthma	Critical Therapeutics	10-Feb-15	Asthma	H/O alcohol or drug abuse	2
NCT01765192	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	Has a history of drug abuse (defined as illicit drug use) or a history of alcohol abuse (defined as regular or daily consumption of more than 2 alcoholic drinks per day) within the past 1 year prior to the Screening visit	2
NCT00278083	Phase 2	Asthma	Imperial College London	10-Feb-15	Asthma	Have had substance abuse (drug or alcohol) problem within the previous 10 years	2
NCT00679263	Phase 2	Asthma	MediciNova	10-Feb-15	Asthma	Have history or evidence of drug or alcohol abuse within 2 years of study entry;	2
NCT04643158	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma;Respiratory Aspiration	"History of, drug or alcohol abuse within the past 2 years prior to Screening."	2
NCT01993329	Phase 2	Asthma	"Afferent Pharmaceuticals, Inc."	10-Feb-15	Asthma	History of a diagnosis of drug or alcohol dependency or abuse within approximately the last 3 years.	2
NCT01545440	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	"History of alcohol, drug or chemical abuse"	2
NCT01545453	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	"History of alcohol, drug or chemical abuse"	2
NCT03084718	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	History of alcohol abuse and/or substance/drug abuse within 12 months prior to screening.	2
NCT03086460	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	History of alcohol abuse and/or substance/drug abuse within 12 months prior to screening.	2
NCT00783289	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of alcohol abuse or drug abuse that required treatment <1 year prior to randomization into the study	2
NCT01097694	Phase 2	Asthma	Brigham and Women's Hospital	10-Feb-15	Asthma	History of alcohol abuse within 6 months of screening	2
NCT01304628	Phase 2	Asthma	Palatin Technologies	10-Feb-15	Asthma	history of alcohol abuse within the past 5 years	2
NCT01000506	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol misuse or substance abuse	2
NCT02162784	Phase 2	Asthma	Intech Biopharm Ltd.	10-Feb-15	Asthma	History of alcohol or drug abuse;	2
NCT03680976	Phase 2	Asthma	Sally E. Wenzel MD	10-Feb-15	Asthma	History of alcohol or drug abuse in the 6 month period prior to enrollment	2
NCT01238861	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of alcohol or drug abuse within 12 months prior to screening	2
NCT01479621	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	History of alcohol or drug abuse within two years preceding the Screening Visit	2
NCT01576718	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	History of alcohol or drug abuse within two years preceding the Screening Visit	2
NCT01147744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol or drug abuse: Likely to interfere with the study	2
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol or illegal substance abuse consumption within 2 years of the study start.	2
NCT03393806	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol or illegal substance abuse within 2 years prior to Screening (Visit1).	2
NCT03108534	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	History of alcohol/drug abuse	2
NCT00549744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol/drug abuse or dependence within 12 months of the study	2
NCT00812929	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of alcohol/drug abuse or dependence within 12 months of the study. Abuse of alcohol defined as an average weekly intake of >14 drinks/week for men or >7 drinks/week for women. One drink is equivalent to (12 g alcohol) = 5 ounces (150 ml) of wine or 12 ounces (360 ml) of beer or	2
NCT01348139	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	History of alcohol/drug abuse or excessive intake of alcohol as judged by the Investigator	2
NCT00818454	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	History of and/or active alcohol or drug abuse	2
NCT02698501	Phase 2	Asthma	Celeste Porsbjerg	10-Feb-15	Asthma	History of chronic alcohol or drug abuse	2
NCT01501942	Phase 2	Asthma	AIM Therapeutics Inc.	10-Feb-15	Asthma	"History of drug abuse including marijuana, PCP, cocaine, crack, LSD or other identified street drugs"	2
NCT01196039	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	History of drug or alcohol abuse	2
NCT02491684	Phase 2	Asthma	AstraZeneca	10-Feb-15	Infections;Respiratory Tract Infections;Asthma	History of drug or alcohol abuse within 12 months prior to enrolment	2
NCT01287065	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Respiratory Aspiration	"History of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation."	2
NCT01424124	Phase 2	Asthma	Yuhan Corporation	10-Feb-15	Asthma	History of drug/chemical/alcohol abuse	2
NCT01516073	Phase 2	Asthma	Dey	10-Feb-15	Asthma	History of illegal drug or alcohol abuse within the past 5 years	2
NCT01516086	Phase 2	Asthma	Dey	10-Feb-15	Asthma	History of illegal drug or alcohol abuse within the past 5 years	2
NCT01097694	Phase 2	Asthma	Brigham and Women's Hospital	10-Feb-15	Asthma	History of illicit drug abuse within 6 months of screening	2
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	History of illicit drug use or alcohol abuse within 12 months before Screening.	2
NCT01245426	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	History of regular alcohol consumption within 6 months of the study.	2
NCT01287065	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Respiratory Aspiration	History of regular alcohol consumption within 6 months of the study.	2
NCT00322686	Phase 2	Asthma	Forest Laboratories	10-Feb-15	Asthma	History of substance abuse	2
NCT00768079	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of treatment for alcohol or drug abuse within the past year	2
NCT00873860	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of treatment for alcohol or drug abuse within the past year	2
NCT00968669	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of treatment for alcohol or drug abuse within the past year	2
NCT02635945	Phase 2	Asthma	Palobiofarma SL	10-Feb-15	Asthma	History of treatment for alcohol or drug abuse within the past year	2
NCT01939587	Phase 2	Asthma	Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau	10-Feb-15	Respiratory Hypersensitivity	History of treatment for alcohol or drug abuse within the past year.	2
NCT00048009	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15		History or evidence of drug or alcohol abuse	2
NCT00048022	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	History or evidence of drug or alcohol abuse	2
NCT01296087	Phase 2	Asthma	Targacept Inc.	10-Feb-15	Asthma	History within past 6 months of alcohol abuse or illicit drug abuse	2
NCT00614874	Phase 2	Asthma	Creighton University	10-Feb-15	Asthma	History within the past year of excessive alcohol intake or drug addiction	2
NCT00634036	Phase 2	Asthma	Fernando Holguin	10-Feb-15	Asthma	Illicit drug use within the past year	2
NCT00787644	Phase 2	Asthma;Obesity	University of Vermont	10-Feb-15	Asthma	Illicit drug use within the past year	2
NCT01848769	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Known hypersensitivity to the active treatments	2
NCT01252758	Phase 2	Asthma	Acerus Pharmaceuticals Corporation	10-Feb-15	Asthma	Known or suspected history of alcohol drug or drug/solvent abuse 	2
NCT01332292	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Parent/guardian has history of psychiatric disease, intellectual deficiency, substance abuse, or other condition (e.g., inability to read, comprehend and write) which will limit the validity of consent to participate in this study."	2
NCT00801853	Phase 2	Asthma	"Aerovance, Inc."	10-Feb-15	Asthma	Patient has a history of alcohol or substance abuse within 2 years of Screening (Visit 1)	2
NCT02087644	Phase 2	Asthma	Cytos Biotechnology AG	10-Feb-15	Asthma	Patients with any history of abuse of alcohol or other recreational drugs	2
NCT01436890	Phase 2	Asthma	Glenmark Pharmaceuticals Ltd. India	10-Feb-15	Asthma	Patients with documented or suspected or current history of alcohol and drug abuse	2
NCT01304628	Phase 2	Asthma	Palatin Technologies	10-Feb-15	Asthma	positive result for the alcohol and/or drug tests at screening or check-in	2
NCT01617746	Phase 2	Asthma	University of Glasgow	10-Feb-15	Asthma	Previous intravenous drug use	2
NCT01501942	Phase 2	Asthma	AIM Therapeutics Inc.	10-Feb-15	Asthma	Recent (less than 1 year) history of alcohol dependency	2
NCT01689571	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Recent history of alcohol dependency	2
NCT00162773	Phase 2	Asthma	Johns Hopkins University	10-Feb-15	Asthma	Recent history of drug or alcohol abuse (within 3 years prior to Visit 1)	2
NCT01007721	Phase 2	"Rhinitis, Allergic, Seasonal;Asthma"	Boehringer Ingelheim	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	Significant alcohol or drug abuse within past 2 years (see exclusion criteria No. 1)	2
NCT01656811	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject had a history of substance abuse or drug abuse within 12 months prior to screening.	2
NCT02334553	Phase 2	Asthma	SolAeroMed Inc.	10-Feb-15	Asthma	Subject has a history of physician diagnosed panic disorder or other anxiety disorders	2
NCT00512863	Phase 2	Asthma	Abbott	10-Feb-15	Asthma	Subject with a history of clinically significant drug or alcohol abuse in the last year	2
NCT00684827	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject with a history of substance abuse or drug abuse within 12 months preceding study start.	2
NCT00684866	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject with a history of substance abuse or drug abuse within 12 months preceding study start.	2
NCT00685022	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject with a history of substance abuse or drug abuse within 12 months preceding study start.	2
NCT00685347	Phase 2	Asthma;Bronchoconstriction	Sunovion	10-Feb-15	Asthma	Subject with a history of substance abuse or drug abuse within 12 months preceding study start.	2
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Subjects with a history (or suspected history) of alcohol misuse or substance abuse within 2 years prior to Screening (Visit 1).	2
NCT03012061	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Subjects with a known or suspected history of alcohol or drug abuse within the last 2 years. This includes marijuana, which is considered an abused drug."	2
NCT01366521	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Subjects with recent history (within two years prior to screening) of alcohol misuse or substance abuse prior screening.	2
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	Substance abuse within the last year	2
NCT02433834	Phase 2	Asthma	"Pearl Therapeutics, Inc."	10-Feb-15	Asthma	Substance Abuse: Subjects with a known or suspected history of alcohol or drug abuse within the last 2-year period prior to Screening (Visit 1a)	2
NCT04847674	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	The participant has a history of chronic alcohol or drug abuse within the previous 2 years.	2
NCT00407524	Phase 2	Asthma	University of Aberdeen	10-Feb-15	Asthma	The patient has a history of known alcohol or substance abuse within the one-year prior to Visit 1	2
NCT01245426	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	The subject has a positive pre-study drug/alcohol screen unless a positive can be explained by the patients' medication.	2
NCT00815347	Phase 2	Asthma	UConn Health	10-Feb-15	Asthma	Use of any illegal drugs or alcohol abuse. 	2
NCT00838591	Phase 2	Asthma	MediciNova	10-Feb-15	Asthma	Any subject with a known allergy to other beta agonists;	3
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	Any treatment with ß2-antagonists (including eye drops)	3
NCT00507130	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Current use of any β-adrenergic antagonist (e.g., propranolol);"	3
NCT00394654	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Current use of any β-adrenergic antagonist (e.g. propranolol).	3
NCT00483041	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Current use of any β-adrenergic antagonist (eg, propranolol);"	3
NCT00590720	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Current use of any β-adrenergic antagonist (eg, propranolol);"	3
NCT01484197	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	Excessive use of short acting beta agonists 	3
NCT01951222	Phase 2	Asthma	Pierre Fabre Medicament	10-Feb-15	Asthma	Intolerance to tiotropium (or any other atropine-derived compound).	3
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	Long acting Beta-2-agonists within 24 hours;	3
NCT02382510	Phase 2	Asthma	"Theron Pharmaceuticals, Inc."	10-Feb-15	Asthma	Long-acting muscarinic receptor antagonist (LAMA)	3
NCT01304628	Phase 2	Asthma	Palatin Technologies	10-Feb-15	Asthma	Patients unable to withhold bronchodilator treatment for 12 hours prior to dosing	3
NCT00436670	Phase 2	Asthma	Amgen	10-Feb-15	Asthma	"Received long-acting beta agonist, theophylline, inhaled anticholinergics, oral beta 2 agonists, or cromolyn therapeutics within 1 week of first run-in visit."	3
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	"regular long-acting ß2-agonists at least 3 weeks,"	3
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	"short-acting ß2-agonists and short-acting anticholinergics at least 6 hours,"	3
NCT01190826	Phase 2	Asthma	Asmacure Ltée	10-Feb-15	Asthma	Short acting Beta-2-agonists within 8 hours;	3
NCT01772368	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	Taking long-acting β-agonists within 2 weeks of the SV	3
NCT00407524	Phase 2	Asthma	University of Aberdeen	10-Feb-15	Asthma	The patient is unable to discontinue short-acting beta-2-adrenergic agonists for at least 4 hours prior to the Screening Visit	3
NCT00679263	Phase 2	Asthma	MediciNova	10-Feb-15	Asthma	"Theophylline, long-acting bronchodilators, and anti-cholinergics for 2 weeks prior to the first study visit"	3
NCT00818454	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	Treatment with inhaled tiotropium within 4 weeks of Visit 2	3
NCT01128569	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unable to abstain from short acting beta agonists	3
NCT01128595	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unable to abstain from short acting beta agonists	3
NCT00748306	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unable to abstain from short acting beta agonists as described in the restrictions section	3
NCT00812773	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Unable to abstain from short acting beta agonists within 8 hours prior to an allergen challenge, dosing with study drug or any lung function assessment."	3
NCT01400906	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	unable to abstain from short acting β2-agonists as described in the restriction section of the protocol	3
NCT00150397	Phase 2	Asthma	Pfizer	10-Feb-15	Asthma	Use of any maintenance therapy except short acting bronchodilators	3
NCT00697801	Phase 2	Asthma	Allergan	10-Feb-15	Asthma	Use of inhaled long acting bronchodilators.	3
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	Use of long-acting ß2-agonists in last 3 weeks before the first methacholine challenge or during the study	3
NCT00530166	Phase 2	Asthma	"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."	10-Feb-15	Asthma	Use of long-acting beta-2 agonists or montelukast within 2 weeks	3
NCT00330070	Phase 2	Asthma	Inflazyme Pharmaceuticals Ltd	10-Feb-15	Asthma	use of long-acting beta-2-agonists within 5 weeks prior to randomization	3
NCT00818454	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	Use of oral beta-adrenergic agents within 4 weeks prior to screening	3
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	Use of short-acting ß2-agonists more than thrice a week in the previous month	3
NCT00054964	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	"Requires beta-blockers, MAO inhibitors, tricyclic antidepressants, long-acting beta-blockers, steroids other than those inhaled"	4
NCT02251379	Phase 2	Asthma	Johns Hopkins University	10-Feb-15	Asthma	Taking a beta-blocker	4
NCT00501527	Phase 2	"Rhinitis, Allergic, Seasonal;Conjunctivitis, Allergic;Asthma"	"Laboratorios Leti, S.L."	10-Feb-15	"Rhinitis;Asthma;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal;Conjunctivitis;Conjunctivitis, Allergic"	Treatment with ß-blockers	4
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	"Depression-Anxiety (Hospital anxiety and depression Scale: HADS) These questionnaires are best used as screening tools. As such they typically have high sensitivity but relatively low specificity. Many of their symptoms overlap with the symptoms reported by participants with asthma who do not suffer from these conditions. Therefore, participants who meet the established cut offs for these questionnaires will need to be evaluated by the investigator to consider the clinical significance of the positive questionnaire based on history and physical and available testing. The investigator will need to judge the presence, severity and control of a specific condition and determine if it is sufficiently controlled to keep the participant in the PrecISE protocol. If the comorbid condition(s) is/are not adequately controlled, the investigator may refer the participant for further evaluation/treatment, prior to enrollment in PrecISE. Rescreening is permitted (after at least four weeks) to determine if the participant is able to move forward in PrecISE once the comorbid condition(s) is/are under adequate control. It is expected that some of the participants may also have other conditions such as cardiovascular disease, diabetes and obesity. These should be evaluated clinically as part of the complete history and physical done at initial evaluation. Their inclusions should be based on the investigator clinical judgement in line with good clinical practice principles. "	5
NCT01993329	Phase 2	Asthma	"Afferent Pharmaceuticals, Inc."	10-Feb-15	Asthma	"Diagnosis of depression, psychosis, bipolar disorder, or schizoaffective disorder."	5
NCT01765192	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Has severe neuropsychiatric or neurological disorders (eg, history of depression associated with suicidal thinking, suicidal ideation or behavior)"	5
NCT01656395	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	"history of a clinically significant psychiatric disorder, other than stable depression, within past ≤12 weeks"	5
NCT01624974	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	"history of a psychiatric disorder, other than stable depression, within 3 months prior to Screening Visit;"	5
NCT00968669	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	History of suicidal behavior in the previous 3 years as measured by the Columbia Suicide Severity Rating Scale (C-SSRS) at Day -28	5
NCT03643874	Phase 2	Asthma	"Concentrx Pharmaceuticals, Inc."	10-Feb-15	Asthma	Hospitalized for psychiatric disorder in the previous 12 months or has a history of attempted suicide within 5 years prior to the Screening Visit	5
NCT03364608	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	Hospitalized for psychiatric disorder or attempted suicide within 1 year	5
NCT03371459	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	Hospitalized for psychiatric disorder or attempted suicide within 1 year	5
NCT01436890	Phase 2	Asthma	Glenmark Pharmaceuticals Ltd. India	10-Feb-15	Asthma	"Patients who have been hospitalized for any psychiatric illness in the past year, or are diagnosed with major depression"	5
NCT00968669	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Severe depression as measured by a depression score > 15 on the Hospital Anxiety and Depression Scale (HADS) at either Day-28 or Day 1	5
NCT02491684	Phase 2	Asthma	AstraZeneca	10-Feb-15	Infections;Respiratory Tract Infections;Asthma	"Significant history of depressive disorder or suicidal ideation. Specifically; individuals with current severe depression (ie, a low mood, which pervades all aspects of life and an inability to experience pleasure in activities that formerly were enjoyed); individuals with a past history of depression that required hospitalization or referral to psychiatric services in the past 5 years; individuals who currently feel suicidal or have attempted suicide in the past"	5
NCT01902290	Phase 2	Asthma	Amgen	10-Feb-15	Asthma	Subject has severe depression measured by Personal Health Questionnaire Depression Scale (PHQ-8) or suicidal ideation/behavior as measured by and Columbia Suicide Severity Rating Scale (e-CSSRS)	5
NCT03532490	Phase 2	Asthma;Obesity	Johns Hopkins University	10-Feb-15	Asthma	Suicidal ideation (a score of greater than 0 on Question 9 on the PHQ-9)	5
NCT00549744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	The subject has been treated for or diagnosed with depression within six months of screening or has a history of significant psychiatric illness	5
NCT02293499	Phase 2	Asthma	University of Rochester	10-Feb-15	Asthma	"Those who have serious health (other than asthma) and emotional preconditions (e.g., severe depression, anxiety disorders, schizophrenia). "	5
